품목명,기업명,기준일,수출금액,단가
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-01-01,109966745,4.235282
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-02-01,109185513,4.318241
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-03-01,125063049,4.080615
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-04-01,127349989,4.189152
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-05-01,42078623,4.019444
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-06-01,52002421,4.32411
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-07-01,39873794,4.39018
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-08-01,42361763,4.281838
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-09-01,52183608,4.258277
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-10-01,38967538,4.311515
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-11-01,50778194,4.320134
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2017-12-01,47605867,4.474012
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-01-01,62432899,4.349147
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-02-01,50899448,4.449422
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-03-01,55959617,4.36327
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-04-01,50652795,4.286602
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-05-01,44310908,4.348111
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-06-01,46351343,4.254435
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-07-01,45539037,4.407631
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-08-01,45788473,4.256325
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-09-01,36244389,4.295473
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-10-01,50043285,4.197124
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-11-01,46476392,4.192774
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2018-12-01,53016924,4.368266
건설·운송·상사_굴삭기,"HD건설기계, 두산밥캣",2019-01-01,102768696,4.602807
