item_name,detail_name,hs_code
2차전지·배터리소재_동박,,7410110000
2차전지·배터리소재_분리막,,3921191010
2차전지·배터리소재_셀 모듈 팩,,8507602000
2차전지·배터리소재_셀 모듈 팩,,8507603000
2차전지·배터리소재_셀 모듈 팩,,8507609000
2차전지·배터리소재_알루미늄박,,7607
2차전지·배터리소재_양극재,,2841691000
2차전지·배터리소재_양극재,,2841909010
2차전지·배터리소재_양극재,,2841909020
2차전지·배터리소재_양극재,,2841909030
2차전지·배터리소재_음극재,,2504101000
2차전지·배터리소재_음극재,,2804690000
2차전지·배터리소재_음극재,,3801101000
2차전지·배터리소재_음극재,,3824999000
2차전지·배터리소재_전구체,,2825901090
2차전지·배터리소재_전구체,,2825902050
2차전지·배터리소재_전구체,,2825902090
2차전지·배터리소재_전해액,,3824999090
바이오/의료기기_PCR 및 면역 진단키트,,3822
바이오/의료기기_바이오시밀러,,3002140000
바이오/의료기기_바이오시밀러,,3002150000
바이오/의료기기_올리고뉴클레오타이드,,293499
바이오/의료기기_임플란트,,9021290000
바이오/의료기기_체성분 분석,,9018198000
바이오/의료기기_콘택트렌즈,,9001300000
바이오/의료기기_혈액제재,,3002123000
반도체_MCP,,8542323000
반도체_SiC/Si/Quartz 식각 소모품,,8486902040
반도체_낸드,,8542321030
반도체_디램,,8542321010
반도체_디램 모듈,,8473304060
반도체_메모리,,854232
반도체_장비_검사장비,레티클 웨이퍼 검사 기기,9031419000
반도체_장비_검사장비,반도체 테스터,9031809091
반도체_장비_검사장비,검사장비 부품,9031901010
반도체_장비_고압수소어닐링 (HPA),,8486105030
반도체_장비_레이저가공/다이싱,레이저 절단기,8486208110
반도체_장비_레이저가공/다이싱,가공 기계,8486208120
반도체_장비_레이저가공/다이싱,레이저 기기,8486209321
반도체_장비_레이저가공/다이싱,다이싱 기기,8486209600
반도체_장비_범핑/리플로우,웨이퍼 범핑 장비,8486402040
반도체_장비_범핑/리플로우,"볼 마운터, 솔더볼 장착기",8486402093
반도체_장비_범핑/리플로우,,8486402099
반도체_장비_본딩,"다이본더, 와이어 본더",8486402010
반도체_장비_스크러버,,8421399020
반도체_장비_스크러버,,8421999030
반도체_장비_스트립/건식 세정,,8486208420
반도체_장비_습식 식각 및 세정,"습식 식각기, 세정기",8486207000
반도체_장비_습식 식각 및 세정,화학 기계적 연마기(CMP),8486209110
반도체_장비_습식 식각 및 세정,웨이퍼 캐리어 세척 기기,8486209400
반도체_장비_증착,,8486204000
반도체_장비_칠러,,8418692090
반도체_장비_칠러,,8418999000
반도체_장비_핸들러,,8486402020
반도체_테스트 핀/포고핀,,853690
반도체_프로브카드,,9030901000
에스테틱_미용기기,,9018908900
에스테틱_미용기기,,9018909000
에스테틱_보톡스,,3002491000
에스테틱_필러,,3304999000
에스테틱_홈뷰티,,8543702020
음식료_건강기능식품,,2106909099
음식료_라면,,1902301010
음식료_라면 소스,,2103909090
전기전자_FPCB,,8534002000
전기전자_MLCC,,853224
전기전자_PCB 기판,,8534009000
전기전자_디스플레이_LCD,노트북 테블릿용,8524111000
전기전자_디스플레이_LCD,스마트폰용,8524112000
전기전자_디스플레이_LCD,텔레비전용,8524113000
전기전자_디스플레이_LCD,모니터용,8524114000
전기전자_디스플레이_LCD,기타,8524119000
전기전자_디스플레이_LCD,노트북 테블릿용,8524911000
전기전자_디스플레이_LCD,스마트폰용,8524912000
전기전자_디스플레이_LCD,텔레비전용,8524913000
전기전자_디스플레이_LCD,모니터용,8524914000
전기전자_디스플레이_LCD,기타,8524919000
전기전자_디스플레이_OLED 전체,노트북 테블릿용,8524121000
전기전자_디스플레이_OLED 전체,스마트폰용,8524122000
전기전자_디스플레이_OLED 전체,텔레비전용,8524123000
전기전자_디스플레이_OLED 전체,모니터용,8524124000
전기전자_디스플레이_OLED 전체,기타,8524129000
전기전자_디스플레이_OLED 전체,노트북 테블릿용,8524921000
전기전자_디스플레이_OLED 전체,스마트폰용,8524922000
전기전자_디스플레이_OLED 전체,텔레비전용,8524923000
전기전자_디스플레이_OLED 전체,모니터용,8524924000
전기전자_디스플레이_OLED 전체,기타,8524929000
전력기기·전력인프라·원전_건식 배전변압기,,850433
전력기기·전력인프라·원전_건식 배전변압기,,850434
전력기기·전력인프라·원전_대형 변압기,,850423
전력기기·전력인프라·원전_배전반 및 스위치,,853710
전력기기·전력인프라·원전_배전반 및 스위치,,853720
전력기기·전력인프라·원전_소형 변압기,,850421
전력기기·전력인프라·원전_중형 변압기,,850422
철강·비철금속_강관,,7304
철강·비철금속_강관,,7305
철강·비철금속_강관,,7306
철강·비철금속_봉형강,,7213
철강·비철금속_봉형강,,7214
철강·비철금속_봉형강,,7216
철강·비철금속_비철금속,,7106
철강·비철금속_비철금속,,7108
철강·비철금속_비철금속,,7128
철강·비철금속_비철금속,,7403
철강·비철금속_비철금속,,7801
철강·비철금속_비철금속,,7901
철강·비철금속_비철금속,,8112
철강·비철금속_열연강판,,7208
철강·비철금속_절삭공구,,820740
철강·비철금속_절삭공구,,820750
철강·비철금속_절삭공구,,820770
철강·비철금속_절삭공구,,820790
철강·비철금속_특수강,,7227
철강·비철금속_특수강,,7228
철강·비철금속_피팅,,730721
철강·비철금속_피팅,,730723
철강·비철금속_피팅,,730729
철강·비철금속_피팅,,730791
철강·비철금속_피팅,,730793
철강·비철금속_피팅,,730799
철강·비철금속_후판,,720851
철강·비철금속_후판,,720852
철강·비철금속_후판,,720853
철강·비철금속_후판,,720854
화장품_기초화장품,,3304991000
화장품_색조화장품,립스틱,3304101000
화장품_색조화장품,기타 입술,3304109000
화장품_색조화장품,아이섀도우,3304201000
화장품_색조화장품,기타 눈화장,3304209000
화장품_색조화장품,페이스파우더,3304911000
화장품_색조화장품,메이크업,3304992000
