item_name,category,related_companies,hs_code
2차전지·배터리소재_동박,2차전지·배터리소재,,
2차전지·배터리소재_분리막,2차전지·배터리소재,,
2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,,
2차전지·배터리소재_알루미늄박,2차전지·배터리소재,,
2차전지·배터리소재_양극재,2차전지·배터리소재,,
2차전지·배터리소재_음극재,2차전지·배터리소재,,
2차전지·배터리소재_전구체,2차전지·배터리소재,,
2차전지·배터리소재_전해액,2차전지·배터리소재,,
바이오/의료기기_PCR 및 면역 진단키트,바이오/의료기기,,
바이오/의료기기_바이오시밀러,바이오/의료기기,,
바이오/의료기기_올리고뉴클레오타이드,바이오/의료기기,,
바이오/의료기기_임플란트,바이오/의료기기,,
바이오/의료기기_체성분 분석,바이오/의료기기,,
바이오/의료기기_콘택트렌즈,바이오/의료기기,,
바이오/의료기기_혈액제재,바이오/의료기기,,
반도체_MCP,반도체,,
반도체_SiC/Si/Quartz 식각 소모품,반도체,,
반도체_낸드,반도체,,
반도체_디램,반도체,,
반도체_디램 모듈,반도체,,
반도체_메모리,반도체,,
반도체_장비_검사장비,반도체,,
반도체_장비_고압수소어닐링 (HPA),반도체,,
반도체_장비_레이저가공/다이싱,반도체,,
반도체_장비_범핑/리플로우,반도체,,
반도체_장비_본딩,반도체,,
반도체_장비_스크러버,반도체,,
반도체_장비_스트립/건식 세정,반도체,,
반도체_장비_습식 식각 및 세정,반도체,,
반도체_장비_증착,반도체,,
반도체_장비_칠러,반도체,,
반도체_장비_핸들러,반도체,,
반도체_테스트 핀/포고핀,반도체,,
반도체_테스트소켓,반도체,,
반도체_프로브카드,반도체,,
에스테틱_미용기기,에스테틱,,
에스테틱_보톡스,에스테틱,,
에스테틱_필러,에스테틱,,
에스테틱_홈뷰티,에스테틱,,
음식료_건강기능식품,음식료,,
음식료_라면,음식료,,
음식료_라면 소스,음식료,,
전기전자_FPCB,전기전자,,
전기전자_MLCC,전기전자,,
전기전자_PCB 기판,전기전자,,
전기전자_디스플레이_LCD,전기전자,,
전기전자_디스플레이_OLED 모바일,전기전자,,
전기전자_디스플레이_OLED 전체,전기전자,,
전기전자_디스플레이_OLED_TV,전기전자,,
철강·비철금속_강관,철강·비철금속,,
철강·비철금속_봉형강,철강·비철금속,,
철강·비철금속_비철금속,철강·비철금속,,
철강·비철금속_열연강판,철강·비철금속,,
철강·비철금속_절삭공구,철강·비철금속,,
철강·비철금속_특수강,철강·비철금속,,
철강·비철금속_피팅,철강·비철금속,,
철강·비철금속_후판,철강·비철금속,,
화장품_기초화장품,화장품,,
화장품_색조화장품,화장품,,
