종목코드,종목명,hs코드,품목명,카테고리,관계유형,비고
011790,SKC,7410110000,2차전지·배터리소재_동박,2차전지·배터리소재,주력품목,
020150,롯데에너지머티리얼즈,7410110000,2차전지·배터리소재_동박,2차전지·배터리소재,주력품목,
336370,솔루스첨단소재,7410110000,2차전지·배터리소재_동박,2차전지·배터리소재,주력품목,
361610,SK아이이테크놀로지,3921191010,2차전지·배터리소재_분리막,2차전지·배터리소재,주력품목,
393890,더블유씨피,3921191010,2차전지·배터리소재_분리막,2차전지·배터리소재,주력품목,
373220,LG에너지솔루션,8507602000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
373220,LG에너지솔루션,8507603000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
373220,LG에너지솔루션,8507609000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
096770,SK이노베이션,8507602000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
096770,SK이노베이션,8507603000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
096770,SK이노베이션,8507609000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
006400,삼성SDI,8507602000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
006400,삼성SDI,8507603000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
006400,삼성SDI,8507609000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
004490,세방전지,8507602000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
004490,세방전지,8507603000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
004490,세방전지,8507609000,2차전지·배터리소재_셀 모듈 팩,2차전지·배터리소재,주력품목,
014820,동원시스템즈,7607,2차전지·배터리소재_알루미늄박,2차전지·배터리소재,주력품목,
006110,삼아알미늄,7607,2차전지·배터리소재_알루미늄박,2차전지·배터리소재,주력품목,
086520,에코프로,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
086520,에코프로,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
086520,에코프로,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
086520,에코프로,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
450080,에코프로머티,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
450080,에코프로머티,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
450080,에코프로머티,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
450080,에코프로머티,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
066970,엘앤에프,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
066970,엘앤에프,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
066970,엘앤에프,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
066970,엘앤에프,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
005070,코스모신소재,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
005070,코스모신소재,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
005070,코스모신소재,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
005070,코스모신소재,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,주력품목,
003670,포스코퓨처엠,2841691000,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2841909010,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2841909020,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2841909030,2차전지·배터리소재_양극재,2차전지·배터리소재,관련품목,
121600,나노신소재,2504101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
121600,나노신소재,2804690000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
121600,나노신소재,3801101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
121600,나노신소재,3824999000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
078600,대주전자재료,2504101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
078600,대주전자재료,2804690000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
078600,대주전자재료,3801101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
078600,대주전자재료,3824999000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
281740,레이크머티리얼즈,2504101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
281740,레이크머티리얼즈,2804690000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
281740,레이크머티리얼즈,3801101000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
281740,레이크머티리얼즈,3824999000,2차전지·배터리소재_음극재,2차전지·배터리소재,주력품목,
003670,포스코퓨처엠,2504101000,2차전지·배터리소재_음극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2804690000,2차전지·배터리소재_음극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,3801101000,2차전지·배터리소재_음극재,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,3824999000,2차전지·배터리소재_음극재,2차전지·배터리소재,관련품목,
450080,에코프로머티,2825901090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
450080,에코프로머티,2825902050,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
450080,에코프로머티,2825902090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2825901090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2825902050,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
247540,에코프로비엠,2825902090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
066970,엘앤에프,2825901090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
066970,엘앤에프,2825902050,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
066970,엘앤에프,2825902090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2825901090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2825902050,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
003670,포스코퓨처엠,2825902090,2차전지·배터리소재_전구체,2차전지·배터리소재,관련품목,
357780,솔브레인,3824999090,2차전지·배터리소재_전해액,2차전지·배터리소재,주력품목,
348370,엔켐,3824999090,2차전지·배터리소재_전해액,2차전지·배터리소재,주력품목,
093370,후성,3824999090,2차전지·배터리소재_전해액,2차전지·배터리소재,주력품목,
096530,씨젠,3822,바이오/의료기기_PCR 및 면역 진단키트,바이오/의료기기,주력품목,
137310,에스디바이오센서,3822,바이오/의료기기_PCR 및 면역 진단키트,바이오/의료기기,주력품목,
302440,SK바이오사이언스,3002140000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
302440,SK바이오사이언스,3002150000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
207940,삼성바이오로직스,3002140000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
207940,삼성바이오로직스,3002150000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
,삼성에피스홀딩스,3002140000,바이오/의료기기_바이오시밀러,바이오/의료기기,관련품목,비상장/특수코드(KRX 0126Z0) - 종목코드 확인 불가
,삼성에피스홀딩스,3002150000,바이오/의료기기_바이오시밀러,바이오/의료기기,관련품목,비상장/특수코드(KRX 0126Z0) - 종목코드 확인 불가
068270,셀트리온,3002140000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
068270,셀트리온,3002150000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
068760,셀트리온제약,3002140000,바이오/의료기기_바이오시밀러,바이오/의료기기,주력품목,
