hs코드,품목명,연월,수출금액_usd,수출yoy
7410110000,2차전지·배터리소재_동박,2022-07,63666157.0,-11.5
7410110000,2차전지·배터리소재_동박,2022-08,67263263.0,-4.4
7410110000,2차전지·배터리소재_동박,2022-09,57782086.0,-13.2
7410110000,2차전지·배터리소재_동박,2022-10,54087881.0,-1.5
7410110000,2차전지·배터리소재_동박,2022-11,53536930.0,-4.6
7410110000,2차전지·배터리소재_동박,2022-12,48544664.0,-24.6
7410110000,2차전지·배터리소재_동박,2023-01,47314301.0,-32.7
7410110000,2차전지·배터리소재_동박,2023-02,47099563.0,-28.8
7410110000,2차전지·배터리소재_동박,2023-03,56711215.0,-22.6
7410110000,2차전지·배터리소재_동박,2023-04,48744330.0,-19.6
7410110000,2차전지·배터리소재_동박,2023-05,58130797.0,-9.6
7410110000,2차전지·배터리소재_동박,2023-06,58472461.0,-16.3
7410110000,2차전지·배터리소재_동박,2023-07,53367339.0,-16.2
7410110000,2차전지·배터리소재_동박,2023-08,55627769.0,-17.3
7410110000,2차전지·배터리소재_동박,2023-09,46885070.0,-18.9
7410110000,2차전지·배터리소재_동박,2023-10,44033440.0,-18.6
7410110000,2차전지·배터리소재_동박,2023-11,34648963.0,-35.3
7410110000,2차전지·배터리소재_동박,2023-12,25791560.0,-46.9
7410110000,2차전지·배터리소재_동박,2024-01,34751531.0,-26.6
7410110000,2차전지·배터리소재_동박,2024-02,27962334.0,-40.6
7410110000,2차전지·배터리소재_동박,2024-03,30848679.0,-45.6
7410110000,2차전지·배터리소재_동박,2024-04,30497105.0,-37.4
7410110000,2차전지·배터리소재_동박,2024-05,28080300.0,-51.7
7410110000,2차전지·배터리소재_동박,2024-06,25172421.0,-56.9
7410110000,2차전지·배터리소재_동박,2024-07,26931779.0,-49.5
7410110000,2차전지·배터리소재_동박,2024-08,23727706.0,-57.3
7410110000,2차전지·배터리소재_동박,2024-09,17233977.0,-63.2
7410110000,2차전지·배터리소재_동박,2024-10,16562331.0,-62.4
7410110000,2차전지·배터리소재_동박,2024-11,18182771.0,-47.5
7410110000,2차전지·배터리소재_동박,2024-12,20096023.0,-22.1
7410110000,2차전지·배터리소재_동박,2025-01,26561442.0,-23.6
7410110000,2차전지·배터리소재_동박,2025-02,25280628.0,-9.6
7410110000,2차전지·배터리소재_동박,2025-03,26637829.0,-13.7
7410110000,2차전지·배터리소재_동박,2025-04,29370555.0,-3.7
7410110000,2차전지·배터리소재_동박,2025-05,32158018.0,14.5
7410110000,2차전지·배터리소재_동박,2025-06,30976944.0,23.1
7410110000,2차전지·배터리소재_동박,2025-07,30491749.0,13.2
7410110000,2차전지·배터리소재_동박,2025-08,30017826.0,26.5
7410110000,2차전지·배터리소재_동박,2025-09,33157011.0,92.4
7410110000,2차전지·배터리소재_동박,2025-10,18569577.0,12.1
7410110000,2차전지·배터리소재_동박,2025-11,23554322.0,29.5
7410110000,2차전지·배터리소재_동박,2025-12,26411670.0,31.4
7410110000,2차전지·배터리소재_동박,2026-01,26464530.0,-0.4
7410110000,2차전지·배터리소재_동박,2026-02,26777092.0,5.9
7410110000,2차전지·배터리소재_동박,2026-03,28650096.0,7.6
7410110000,2차전지·배터리소재_동박,2026-04,38940202.0,32.6
7410110000,2차전지·배터리소재_동박,2026-05,29265708.0,-9.0
7410110000,2차전지·배터리소재_동박,2026-06,32920155.0,6.3
3921191010,2차전지·배터리소재_분리막,2022-07,88228526.0,-16.6
3921191010,2차전지·배터리소재_분리막,2022-08,80975287.0,-23.5
3921191010,2차전지·배터리소재_분리막,2022-09,83332564.0,-16.7
3921191010,2차전지·배터리소재_분리막,2022-10,80146210.0,-16.1
3921191010,2차전지·배터리소재_분리막,2022-11,77387408.0,-11.8
3921191010,2차전지·배터리소재_분리막,2022-12,86499339.0,-16.8
3921191010,2차전지·배터리소재_분리막,2023-01,79639125.0,-14.6
3921191010,2차전지·배터리소재_분리막,2023-02,91935448.0,3.6
3921191010,2차전지·배터리소재_분리막,2023-03,76707722.0,-17.7
3921191010,2차전지·배터리소재_분리막,2023-04,72459010.0,-12.4
3921191010,2차전지·배터리소재_분리막,2023-05,82599321.0,-3.7
