기준일,품목명,수출금액,대분류,단가
2016-01-10,2차전지·배터리소재_동박,3345320,2차전지·배터리소재,9.719837
2016-01-20,2차전지·배터리소재_동박,10223895,2차전지·배터리소재,9.485166
2016-01-31,2차전지·배터리소재_동박,15773712,2차전지·배터리소재,9.503924
2016-02-10,2차전지·배터리소재_동박,3525422,2차전지·배터리소재,9.611198
2016-02-20,2차전지·배터리소재_동박,10498199,2차전지·배터리소재,9.456706
2016-02-29,2차전지·배터리소재_동박,16294421,2차전지·배터리소재,9.635548
2016-03-10,2차전지·배터리소재_동박,4751259,2차전지·배터리소재,8.757568
2016-03-20,2차전지·배터리소재_동박,8505868,2차전지·배터리소재,9.241938
2016-03-31,2차전지·배터리소재_동박,14751963,2차전지·배터리소재,9.518227
2016-04-10,2차전지·배터리소재_동박,3324923,2차전지·배터리소재,10.204324
2016-04-20,2차전지·배터리소재_동박,8336060,2차전지·배터리소재,10.117113
2016-04-30,2차전지·배터리소재_동박,15628934,2차전지·배터리소재,9.694004
2016-05-10,2차전지·배터리소재_동박,3555189,2차전지·배터리소재,9.895153
2016-05-20,2차전지·배터리소재_동박,10856268,2차전지·배터리소재,9.627811
2016-05-31,2차전지·배터리소재_동박,17716260,2차전지·배터리소재,9.604054
2016-06-10,2차전지·배터리소재_동박,3646246,2차전지·배터리소재,9.830951
2016-06-20,2차전지·배터리소재_동박,8239996,2차전지·배터리소재,9.809479
2016-06-30,2차전지·배터리소재_동박,16093717,2차전지·배터리소재,9.674919
2016-07-10,2차전지·배터리소재_동박,2654988,2차전지·배터리소재,9.83377
2016-07-20,2차전지·배터리소재_동박,8474896,2차전지·배터리소재,9.978099
2016-07-31,2차전지·배터리소재_동박,16289376,2차전지·배터리소재,9.94937
2016-08-10,2차전지·배터리소재_동박,4803695,2차전지·배터리소재,9.957642
2016-08-20,2차전지·배터리소재_동박,10065543,2차전지·배터리소재,10.093732
2016-08-31,2차전지·배터리소재_동박,17667299,2차전지·배터리소재,10.053908
2016-09-10,2차전지·배터리소재_동박,4903236,2차전지·배터리소재,10.635726
2016-09-20,2차전지·배터리소재_동박,9799172,2차전지·배터리소재,10.464636
2016-09-30,2차전지·배터리소재_동박,18929482,2차전지·배터리소재,10.268861
2016-10-10,2차전지·배터리소재_동박,4221324,2차전지·배터리소재,10.084962
2016-10-20,2차전지·배터리소재_동박,11434022,2차전지·배터리소재,10.28449
2016-10-31,2차전지·배터리소재_동박,19115735,2차전지·배터리소재,10.261914
2016-11-10,2차전지·배터리소재_동박,2933802,2차전지·배터리소재,11.159296
2016-11-20,2차전지·배터리소재_동박,6919863,2차전지·배터리소재,10.568521
2016-11-30,2차전지·배터리소재_동박,14199202,2차전지·배터리소재,10.440281
2016-12-10,2차전지·배터리소재_동박,4558552,2차전지·배터리소재,10.664024
2016-12-20,2차전지·배터리소재_동박,10219837,2차전지·배터리소재,10.951793
2016-12-31,2차전지·배터리소재_동박,18345520,2차전지·배터리소재,10.775752
2017-01-10,2차전지·배터리소재_동박,4784828,2차전지·배터리소재,11.476804
2017-01-20,2차전지·배터리소재_동박,12804334,2차전지·배터리소재,11.559161
2017-01-31,2차전지·배터리소재_동박,17959693,2차전지·배터리소재,11.280421
2017-02-10,2차전지·배터리소재_동박,6288450,2차전지·배터리소재,12.207533
2017-02-20,2차전지·배터리소재_동박,11020958,2차전지·배터리소재,11.966024
2017-02-28,2차전지·배터리소재_동박,19930881,2차전지·배터리소재,11.726832
2017-03-10,2차전지·배터리소재_동박,5286690,2차전지·배터리소재,11.629389
2017-03-20,2차전지·배터리소재_동박,9441604,2차전지·배터리소재,10.591078
2017-03-31,2차전지·배터리소재_동박,21138042,2차전지·배터리소재,11.188439
2017-04-10,2차전지·배터리소재_동박,2826809,2차전지·배터리소재,10.7414
2017-04-20,2차전지·배터리소재_동박,9266576,2차전지·배터리소재,11.337244
2017-04-30,2차전지·배터리소재_동박,18791772,2차전지·배터리소재,11.598106
2017-05-10,2차전지·배터리소재_동박,2857903,2차전지·배터리소재,11.843582
2017-05-20,2차전지·배터리소재_동박,8848764,2차전지·배터리소재,11.319591
2017-05-31,2차전지·배터리소재_동박,20089560,2차전지·배터리소재,11.569963
2017-06-10,2차전지·배터리소재_동박,5352333,2차전지·배터리소재,11.881103
2017-06-20,2차전지·배터리소재_동박,11866600,2차전지·배터리소재,11.787277
2017-06-30,2차전지·배터리소재_동박,23638642,2차전지·배터리소재,11.700447
2017-07-10,2차전지·배터리소재_동박,3708076,2차전지·배터리소재,13.29393
2017-07-20,2차전지·배터리소재_동박,12332118,2차전지·배터리소재,12.597132
2017-07-31,2차전지·배터리소재_동박,24226873,2차전지·배터리소재,12.212778
2017-08-10,2차전지·배터리소재_동박,4694741,2차전지·배터리소재,12.474419
2017-08-20,2차전지·배터리소재_동박,12799133,2차전지·배터리소재,12.060636
2017-08-31,2차전지·배터리소재_동박,25144466,2차전지·배터리소재,11.857631
2017-09-10,2차전지·배터리소재_동박,4591815,2차전지·배터리소재,12.637194
2017-09-20,2차전지·배터리소재_동박,13844644,2차전지·배터리소재,12.920411
2017-09-30,2차전지·배터리소재_동박,26389729,2차전지·배터리소재,12.916354
2017-10-10,2차전지·배터리소재_동박,2491864,2차전지·배터리소재,12.532743
2017-10-20,2차전지·배터리소재_동박,14480225,2차전지·배터리소재,13.045453
2017-10-31,2차전지·배터리소재_동박,26482974,2차전지·배터리소재,13.008696
2017-11-10,2차전지·배터리소재_동박,7376242,2차전지·배터리소재,12.833292
2017-11-20,2차전지·배터리소재_동박,14517600,2차전지·배터리소재,12.852737
2017-11-30,2차전지·배터리소재_동박,28424476,2차전지·배터리소재,12.946727
2017-12-10,2차전지·배터리소재_동박,6736421,2차전지·배터리소재,13.582184
2017-12-20,2차전지·배터리소재_동박,19124742,2차전지·배터리소재,13.328763
2017-12-31,2차전지·배터리소재_동박,30836826,2차전지·배터리소재,13.197743
2018-01-10,2차전지·배터리소재_동박,8737255,2차전지·배터리소재,13.914362
2018-01-20,2차전지·배터리소재_동박,17994609,2차전지·배터리소재,13.904046
2018-01-31,2차전지·배터리소재_동박,30965541,2차전지·배터리소재,13.670007
2018-02-10,2차전지·배터리소재_동박,8570183,2차전지·배터리소재,13.697371
2018-02-20,2차전지·배터리소재_동박,18134022,2차전지·배터리소재,13.637129
2018-02-28,2차전지·배터리소재_동박,27954759,2차전지·배터리소재,13.544185
2018-03-10,2차전지·배터리소재_동박,6223655,2차전지·배터리소재,13.804517
2018-03-20,2차전지·배터리소재_동박,15903908,2차전지·배터리소재,13.616852
2018-03-31,2차전지·배터리소재_동박,28816761,2차전지·배터리소재,13.683454
2018-04-10,2차전지·배터리소재_동박,7350588,2차전지·배터리소재,13.764039
2018-04-20,2차전지·배터리소재_동박,18364057,2차전지·배터리소재,13.620647
2018-04-30,2차전지·배터리소재_동박,29057574,2차전지·배터리소재,13.575937
2018-05-10,2차전지·배터리소재_동박,7624561,2차전지·배터리소재,13.485378
2018-05-20,2차전지·배터리소재_동박,15142198,2차전지·배터리소재,13.598605
2018-05-31,2차전지·배터리소재_동박,27356649,2차전지·배터리소재,13.585638
2018-06-10,2차전지·배터리소재_동박,6512524,2차전지·배터리소재,13.791334
2018-06-20,2차전지·배터리소재_동박,17365021,2차전지·배터리소재,13.66334
2018-06-30,2차전지·배터리소재_동박,29585266,2차전지·배터리소재,13.755821
2018-07-10,2차전지·배터리소재_동박,8651100,2차전지·배터리소재,13.864952
2018-07-20,2차전지·배터리소재_동박,20575136,2차전지·배터리소재,13.896235
2018-07-31,2차전지·배터리소재_동박,32039405,2차전지·배터리소재,13.835119
2018-08-10,2차전지·배터리소재_동박,10183505,2차전지·배터리소재,13.696936
2018-08-20,2차전지·배터리소재_동박,16428990,2차전지·배터리소재,13.68326
2018-08-31,2차전지·배터리소재_동박,31229399,2차전지·배터리소재,13.535284
2018-09-10,2차전지·배터리소재_동박,6561332,2차전지·배터리소재,13.501865
2018-09-20,2차전지·배터리소재_동박,17392794,2차전지·배터리소재,13.321183
2018-09-30,2차전지·배터리소재_동박,26819870,2차전지·배터리소재,13.277309
